"","WT","Date","Diff_PSL"
"138",2,2007-08-29,6.34461354691302
"139",2,2007-08-30,22.0171644213551
"140",2,2007-08-31,30.5690482470382
"141",2,2007-09-01,2.63377749147185
"142",2,2007-09-02,-72.8108312368131
"143",2,2007-09-03,-51.9166544087784
"144",2,2007-09-04,44.0236112238345
"145",2,2007-09-05,-39.4639199703815
"146",2,2007-09-06,-195.778982713848
"147",2,2009-08-13,-24.3494207515032
"148",2,2009-08-14,-50.3309033131809
"149",2,2009-08-15,-58.588727225695
"150",2,2009-08-16,-15.5500375344855
"151",2,2009-08-17,-46.9317962790228
"152",2,2009-08-18,-86.715893067274
"153",2,2009-08-20,-67.0758615180093
"154",2,2009-08-21,-20.2740309507499
"155",2,2009-08-22,26.5561939518811
"156",2,2009-08-23,-36.6441058168275
"157",2,2009-08-24,24.497608444246
"158",2,2009-08-25,89.8378180287255
"159",2,2009-08-26,85.3047940168035
"160",2,2009-08-27,6.67699541470211
"161",2,2009-08-28,1.65111817278375
"162",2,2009-08-29,89.1688849212806
"163",2,2009-08-30,41.5006720702804
"164",2,2009-08-31,-26.7755488151306
"165",2,2009-09-01,-82.9537209868577
"166",2,2009-09-02,-61.2075251582573
"167",2,2009-09-03,-58.8608687712986
"168",2,2009-09-04,-85.596081957061
"169",2,2009-09-05,-86.2044171502203
"170",2,2009-09-06,100.581984965902
"171",2,2009-09-07,249.75686652938
"172",2,2009-09-08,133.873124543505
"173",2,2009-09-09,12.4538439883909
"174",2,2009-09-10,2.28370495860872
"175",2,2009-09-11,2.64674844790716
"176",2,2009-09-12,11.9238100551884
"177",2,2009-09-13,-138.597648007635
"178",2,2009-09-14,-99.7005457717896
"179",2,2009-09-15,51.5170325434156
"180",2,2009-09-16,72.01115383055
"181",2,2009-09-17,19.0481912433024
"182",2,2009-09-18,-110.447009160445
"183",2,2009-09-19,-148.527556149565
"184",2,2009-09-20,60.3497783436178
"185",2,2009-09-21,71.0289827138331
"186",2,2009-09-22,-27.5388583427994
"187",2,2009-09-23,-127.787794442862
"188",2,2009-09-24,-39.1509419128415
"189",2,2009-09-25,-76.7667383541557
"190",2,2009-09-26,-168.202375578243
"191",2,2009-09-27,-70.3659511442966
"192",2,2009-09-28,111.626283273828
"193",2,2009-09-29,197.182124705811
"194",2,2009-09-30,112.877836643805
"195",2,2009-10-01,21.2873354061885
"196",2,2009-10-02,68.5780197512504
"197",2,2009-10-03,-18.1146995719027
"198",2,2009-10-04,-56.9679384434421
